date,ticker,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,investment_buy,investment_sell,investment_net,dealer_buy,dealer_sell,dealer_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,total_net,source
2026-05-29,00799B.TW,國泰A級醫療債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00830.TW,國泰費城半導體,1291734,158079,1133655,0,0,0,0,0,0,920768,1026000,-105232,109000,0,109000,811768,1026000,-214232,1028423,TWSE
2026-05-29,00834B.TW,第一金金融債10+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00836B.TW,永豐10年A公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00840B.TW,凱基IG精選15+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00841B.TW,凱基AAA-AA公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00842B.TW,台新美元銀行債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00844B.TW,新光15年IG金融債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00845B.TW,富邦新興投等債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00846B.TW,富邦歐洲銀行債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00847B.TW,中信美國市政債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00848B.TW,中信新興亞洲債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00849B.TW,中信EM主權債0-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00850.TW,元大臺灣ESG永續,11050,41000,-29950,0,0,0,0,0,0,431988,28450,403538,0,0,0,431988,28450,403538,373588,TWSE
2026-05-29,00851.TW,台新全球AI,3000,0,3000,0,0,0,0,0,0,3558,2000,1558,0,0,0,3558,2000,1558,4558,TWSE
2026-05-29,00852L.TW,國泰美國道瓊正2,0,0,0,0,0,0,0,0,0,191074,5000,186074,0,0,0,191074,5000,186074,186074,TWSE
2026-05-29,00853B.TW,統一美債10年Aa-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00856B.TW,永豐1-3年美公債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00857B.TW,永豐20年美公債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00858.TW,永豐美國500大,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
